left,right,x,y,z
589,311,5,0.517578,0.011597,-10.330200
590,310,5,0.526733,-0.006104,-10.390015
591,309,5,0.525513,0.006714,-10.127563
592,308,5,0.500488,0.014038,-10.176392
593,307,5,0.618286,0.007324,-10.205688
594,306,5,0.457764,-0.019531,-10.254517
595,305,5,0.505981,-0.054932,-10.239258
597,303,5,0.339355,0.025635,-10.166626
597,303,5,0.537720,0.051270,-10.175171
596,304,5,0.349121,-0.059814,-10.133057
598,302,5,0.449829,0.078125,-10.189819
596,304,5,0.330200,0.030518,-10.223389
595,305,5,0.567017,-0.020752,-10.300903
596,304,5,0.405273,0.033569,-10.179443
595,305,5,0.533447,0.061035,-10.340576
593,307,5,0.414429,0.080566,-10.155640
590,310,6,0.455322,-0.017090,-10.232544
590,310,6,0.441284,-0.046997,-9.910278
592,308,6,0.368652,0.078125,-10.122070
590,310,6,0.390625,0.023193,-10.062256
589,311,6,0.396729,-0.034180,-10.332031
590,310,6,0.369263,0.056763,-10.257568
589,311,6,0.408325,-0.010376,-10.155029
590,310,6,0.392456,-0.023804,-10.085449
591,309,6,0.458374,0.032959,-10.115967
591,309,6,0.484619,0.057983,-10.186768
590,310,6,0.489502,0.071411,-10.269775
587,313,6,0.496216,-0.037231,-10.265503
588,312,6,0.476685,-0.004272,-10.241089
589,311,6,0.493164,0.055542,-10.260620
588,312,6,0.479126,-0.061035,-10.328979
590,310,6,0.512695,0.042725,-10.256348
590,310,6,0.481567,0.062866,-10.311890
588,312,6,0.422363,-0.072632,-10.056763
590,310,6,0.310059,-0.084229,-10.058594
593,307,6,0.349121,-0.004883,-9.897461
594,306,6,0.293579,0.049438,-9.980469
593,307,6,0.372925,0.067139,-10.103760
591,309,6,0.411377,0.005493,-10.326538
591,309,6,0.373535,0.081787,-10.244141
588,312,6,0.400391,0.003052,-10.098877
587,313,6,0.356445,0.030518,-10.125122
585,315,6,0.466309,0.158081,-10.109863
581,319,6,0.463867,0.049438,-10.155029
579,321,6,0.494995,-0.019531,-10.236816
579,321,6,0.392456,-0.019531,-10.237427
580,320,6,0.466919,-0.048218,-10.229492
582,318,6,0.466919,0.051880,-10.344238
581,319,6,0.540771,0.006104,-10.316162
581,319,6,0.407104,0.003662,-10.216064
582,318,6,0.480347,0.000000,-10.158081
583,317,6,0.405884,-0.131226,-10.160522
587,313,6,0.375366,-0.003052,-10.208740
588,312,6,0.436401,0.012817,-10.018921
589,311,6,0.324097,0.065918,-9.996338
588,312,6,0.435181,0.070801,-9.971924
586,314,7,0.443115,0.010376,-10.181274
585,315,7,0.399780,0.076294,-10.251465
582,318,7,0.481567,0.021973,-10.314941
580,320,7,0.390625,0.020752,-10.228882
578,322,7,0.510254,0.085449,-10.220337
575,325,7,0.463867,0.007935,-10.225830
574,326,7,0.489502,-0.068970,-10.226440
576,324,7,0.430298,-0.045776,-10.153198
578,322,7,0.520630,-0.063477,-10.346069
580,320,7,0.498047,0.022583,-10.301514
580,320,7,0.443115,-0.008545,-10.217285
581,319,7,0.391846,-0.073853,-10.145874
583,317,7,0.360718,0.001831,-10.011597
584,316,7,0.352173,-0.030518,-10.250854
586,314,7,0.392456,0.056152,-10.177612
585,315,7,0.519409,0.052490,-10.318604
583,317,7,0.413818,0.041504,-10.114746
581,319,7,0.505371,0.060425,-10.071411
579,321,7,0.444336,0.040894,-10.122070
577,323,7,0.482178,0.027466,-10.213623
575,325,7,0.545044,0.039673,-10.355835
573,327,7,0.509644,-0.014648,-10.358276
573,327,7,0.552979,0.020752,-10.290527
572,328,7,0.471802,-0.021362,-10.198975
573,327,7,0.490112,-0.054321,-10.227661
575,325,7,0.444336,-0.034180,-10.181274
577,323,7,0.413208,-0.057373,-10.209961
579,321,7,0.397949,-0.064087,-10.152588
581,319,7,0.468140,-0.019531,-10.181274
582,318,7,0.378418,-0.081787,-10.154419
585,315,7,0.404053,-0.006714,-10.171509
586,314,7,0.345459,0.006104,-9.935303
587,313,7,0.467529,0.004272,-10.285645
588,312,7,0.433350,0.029907,-10.264893
588,312,7,0.534668,0.012817,-10.497437
589,311,7,0.539551,0.035400,-10.446167
589,311,7,0.545044,0.053101,-10.142212
588,312,7,0.455322,-0.010376,-10.208130
589,311,7,0.522461,0.051880,-10.107422
588,312,7,0.471802,-0.010376,-10.287476
589,311,8,0.507812,-0.033569,-10.282593
591,309,8,0.418091,0.073242,-10.265503
589,311,8,0.509644,-0.061646,-10.210571
591,309,8,0.421753,0.015869,-10.160522
592,308,8,0.465088,-0.034180,-10.178833
594,306,8,0.408936,0.011597,-10.122681
595,305,8,0.441284,0.026245,-10.102539
595,305,8,0.420532,-0.001221,-10.144653
596,304,8,0.469360,0.086670,-10.310669
594,306,8,0.491333,0.038452,-10.310059
