left,right,x,y,z,,,dy
582,318,0.317993,0.046387,-10.079956,,,-0.026245
580,320,0.471802,0.10498,-10.128174,,,0.058593
577,323,0.446777,0.064697,-10.247192,,,-0.040283
575,325,0.50293,-0.024414,-10.24353,,,-0.089111
575,325,0.393066,-0.054321,-10.176392,,,-0.029907
577,323,0.463257,-0.013428,-10.221558,,,0.040893
578,322,0.440063,0.040283,-10.289917,,,0.053711
578,322,0.524902,-0.032349,-10.407104,,,-0.072632
580,320,0.443726,-0.072632,-10.222168,,,-0.040283
582,318,0.498047,0.020142,-10.227051,,,0.092774
582,318,0.397339,-0.126343,-10.078735,,,-0.146485
585,315,0.365601,-0.048828,-10.162964,,,0.077515
587,313,0.378418,0.010376,-9.830933,,,0.059204
588,312,0.286865,-0.001831,-9.953003,,,-0.012207
589,311,0.385132,0.040894,-9.906006,,,0.042725
589,311,0.38269,-0.0354,-10.176392,,,-0.076294
591,309,0.377197,0.061035,-10.205078,,,0.096435
590,310,0.421753,0.103149,-10.153809,,,0.042114
587,313,0.386963,0.05249,-10.144043,,,-0.050659
585,315,0.460815,0.059814,-10.114136,,,0.007324
583,317,0.460815,0.023804,-10.224609,,,-0.03601
581,319,0.516968,-0.026855,-10.245972,,,-0.050659
581,319,0.405884,0.040283,-10.19104,,,0.067138
580,320,0.493774,-0.067139,-10.182495,,,-0.107422
582,318,0.408325,0.03479,-10.236206,,,0.101929
582,318,0.459595,-0.057983,-10.200195,,,-0.092773
584,316,0.445557,-0.070801,-10.195312,,,-0.012818
586,314,0.379028,0.006104,-10.036621,,,0.076905
587,313,0.500488,0.018921,-10.256958,,,0.012817
588,312,0.402832,0.007324,-10.356445,,,-0.011597
589,311,0.517578,0.011597,-10.3302,,,0.004273
590,310,0.526733,-0.006104,-10.390015,,,-0.017701
591,309,0.525513,0.006714,-10.127563,,,0.012818
592,308,0.500488,0.014038,-10.176392,,,0.007324
593,307,0.618286,0.007324,-10.205688,,,-0.006714
594,306,0.457764,-0.019531,-10.254517,,,-0.026855
595,305,0.505981,-0.054932,-10.239258,,,-0.035401
597,303,0.339355,0.025635,-10.166626,,,0.080567
597,303,0.53772,0.05127,-10.175171,,,0.025635
596,304,0.349121,-0.059814,-10.133057,,,-0.111084
598,302,0.449829,0.078125,-10.189819,,,0.137939
596,304,0.3302,0.030518,-10.223389,,,-0.047607
595,305,0.567017,-0.020752,-10.300903,,,-0.05127
596,304,0.405273,0.033569,-10.179443,,,0.054321
595,305,0.533447,0.061035,-10.340576,,,0.027466
593,307,0.414429,0.080566,-10.15564,,,0.019531
590,310,0.455322,-0.01709,-10.232544,,,-0.097656
590,310,0.441284,-0.046997,-9.910278,,,-0.029907
592,308,0.368652,0.078125,-10.12207,,,0.125122
590,310,0.390625,0.023193,-10.062256,,,-0.054932
589,311,0.396729,-0.03418,-10.332031,,,-0.057373
590,310,0.369263,0.056763,-10.257568,,,0.090943
589,311,0.408325,-0.010376,-10.155029,,,-0.067139
590,310,0.392456,-0.023804,-10.085449,,,-0.013428
591,309,0.458374,0.032959,-10.115967,,,0.056763
591,309,0.484619,0.057983,-10.186768,,,0.025024
