left,right,x,y,z
-2043,700,0.449829,0.203857,-10.233765
-2079,700,0.469360,0.166626,-10.199585
-2113,700,0.537720,0.172729,-10.214233
-2148,700,0.464478,0.153809,-10.142212
-2182,700,0.490112,0.189209,-10.184937
-2218,700,0.481567,0.158691,-10.213013
-2253,700,0.472412,0.176392,-10.169678
-2289,700,0.498657,0.122070,-10.203857
-2321,700,0.504150,0.171509,-10.202026
-2356,700,0.518188,0.142212,-10.210571
-2389,700,0.519409,0.147705,-10.223999
-2422,700,0.485229,0.161133,-10.211792
-2456,700,0.504761,0.167847,-10.206909
-2491,700,0.516357,0.153809,-10.241089
-2525,700,0.518188,0.151978,-10.191040
-2559,700,0.510254,0.178833,-10.167847
-2594,700,0.468750,0.155029,-10.205078
-2628,700,0.505981,0.174561,-10.187988
-2663,700,0.507202,0.105591,-10.237427
-2694,700,0.483398,0.108032,-10.200806
-2724,700,0.523071,0.164185,-10.191650
-2757,700,0.495605,0.160522,-10.227051
-2790,700,0.513306,0.162964,-10.236816
-2823,700,0.500488,0.138550,-10.244751
-2855,700,0.480957,0.186157,-10.172729
-2890,700,0.422363,0.142212,-10.216675
-2922,700,0.508423,0.141602,-10.187378
-2954,700,0.516357,0.135498,-10.182495
-2986,700,0.485229,0.155029,-10.201416
-3019,700,0.506592,0.173340,-10.211182
-3053,700,0.438843,0.141602,-10.255127
-3085,700,0.482788,0.175781,-10.193481
-3119,700,0.469360,0.161743,-10.248413
-3153,700,0.488892,0.175781,-10.172729
-3188,700,0.515137,0.141602,-10.221558
-3221,700,0.482788,0.151978,-10.198364
-3254,700,0.523071,0.170288,-10.240479
-3288,700,0.509644,0.156860,-10.218506
-3322,700,0.454712,0.202026,-10.167847
-3359,700,0.495605,0.144043,-10.219116
-3393,700,0.521851,0.133667,-10.236206
-3426,700,0.485229,0.177002,-10.192871
-3461,700,0.492554,0.126953,-10.236816
-3493,700,0.488281,0.132446,-10.186157
-3525,700,0.501099,0.147095,-10.220337
-3557,700,0.454102,0.180664,-10.223999
-3592,700,0.518799,0.185547,-10.210571
-3628,700,0.513306,0.177612,-10.168457
-3663,700,0.475464,0.147705,-10.170288
-3697,700,0.486450,0.182495,-10.272827
-3733,700,0.505981,0.181885,-10.203247
-3769,700,0.485229,0.167847,-10.217285
-3805,700,0.491333,0.194092,-10.225830
-3843,700,0.498047,0.147705,-10.242310
-3878,700,0.497437,0.159912,-10.248413
-3913,700,0.488281,0.159912,-10.186157
-3948,700,0.515137,0.164795,-10.171509
-3984,700,0.474854,0.159302,-10.219727
-4019,700,0.521240,0.159912,-10.186768
-4054,700,0.481567,0.200806,-10.194092
-4092,700,0.481567,0.140381,-10.137329
-4126,700,0.519409,0.169678,-10.215454
-4162,700,0.498047,0.172119,-10.208740
-4198,700,0.472412,0.147095,-10.178833
-4233,700,0.511475,0.130615,-10.145874
-4266,700,0.500488,0.167236,-10.218506
-4301,700,0.498657,0.169678,-10.151367
-4336,700,0.494385,0.153809,-10.250244
-4370,700,0.462036,0.174561,-10.182495
-4406,700,0.479126,0.147705,-10.235596
-4440,700,0.455322,0.145264,-10.240479
-4474,700,0.485229,0.146484,-10.259399
-4507,700,0.484009,0.186768,-10.229492
-4543,700,0.533447,0.201416,-10.239868
-4581,700,0.476074,0.171509,-10.191040
-4617,700,0.500488,0.175781,-10.222778
-4654,700,0.463867,0.143433,-10.241089
-4689,700,0.501099,0.173950,-10.173340
-4725,700,0.463867,0.196533,-10.199585
-4763,700,0.494385,0.168457,-10.227051
-4800,700,0.452881,0.146484,-10.169678
-4835,700,0.484009,0.166626,-10.186157
-4871,700,0.441284,0.187988,-10.178833
-4909,700,0.499268,0.137939,-10.210571
-4943,700,0.501099,0.152588,-10.194702
-4978,700,0.498047,0.148926,-10.169678
-5012,700,0.461426,0.136108,-10.159302
-5045,700,0.490112,0.142212,-10.275879
-5078,700,0.487061,0.121460,-10.181274
-5109,700,0.511475,0.139771,-10.253906
-5141,700,0.463257,0.155029,-10.243530
-5174,700,0.509644,0.144043,-10.257568
-5206,700,0.520020,0.170288,-10.169678
-5240,700,0.474243,0.178223,-10.214844
-5275,700,0.444336,0.149536,-10.197754
-5308,700,0.516968,0.157471,-10.178223
-5342,700,0.493774,0.149536,-10.196533
-5375,700,0.521851,0.108643,-10.269775
-5405,700,0.471191,0.131836,-10.187988
-5436,700,0.476685,0.198364,-10.238647
-5471,700,0.447998,0.165405,-10.238647
-5505,700,0.466919,0.170898,-10.222168
-5539,700,0.533447,0.176392,-10.218506
-5574,700,0.502930,0.136719,-10.231934
-5607,700,0.490723,0.147705,-10.159302
-5640,700,0.457153,0.187988,-10.230103
-5676,700,0.479126,0.152588,-10.224609
-5710,700,0.467529,0.173950,-10.165405
-5745,700,0.465088,0.186768,-10.178833
-5781,700,0.500488,0.140381,-10.252075
-5815,700,0.462036,0.189209,-10.185547
-5852,700,0.466919,0.134888,-10.176392
-5885,700,0.471191,0.111084,-10.168457
-5916,700,0.482178,0.209961,-10.218506
-5953,700,0.542603,0.126343,-10.230713
-5985,700,0.502930,0.169067,-10.205688
-6020,700,0.506592,0.187988,-10.229492
-6056,700,0.494385,0.142212,-10.166016
-6090,700,0.467529,0.166016,-10.228271
-6125,700,0.518799,0.151367,-10.235596
-6159,700,0.501709,0.178223,-10.182495
-6195,700,0.499878,0.162964,-10.230713
-6230,700,0.478516,0.188599,-10.205688
-6267,700,0.454102,0.144653,-10.183716
-6301,700,0.441895,0.145874,-10.157471
-6335,700,0.515137,0.177002,-10.221558
-6371,700,0.485840,0.106201,-10.266113
-6402,700,0.443115,0.180054,-10.243530
-6437,700,0.487671,0.168457,-10.118408
-6472,700,0.508423,0.112915,-10.242920
-6503,700,0.482788,0.156250,-10.243530
-6536,700,0.513306,0.142212,-10.192871
-6568,700,0.474854,0.170288,-10.200806
-6602,700,0.483398,0.158081,-10.200806
-6636,700,0.485229,0.151978,-10.200806
-6669,700,0.466309,0.159912,-10.197754
-6703,700,0.433350,0.166626,-10.190430
-6737,700,0.543213,0.170898,-10.214233
-6772,700,0.523071,0.155640,-10.247192
-6806,700,0.493774,0.144043,-10.170288
-6839,700,0.483398,0.170898,-10.199585
-6874,700,0.462646,0.144653,-10.212402
-6907,700,0.490112,0.180664,-10.247192
-6942,700,0.489502,0.180664,-10.229492
-6978,700,0.472412,0.130005,-10.197754
-7011,700,0.473633,0.092773,-10.233154
-7040,700,0.478516,0.186157,-10.209351
-7075,700,0.463867,0.159302,-10.197144
-7109,700,0.471802,0.142822,-10.165405
-7141,700,0.490112,0.137329,-10.181885
-7173,700,0.549927,0.105591,-10.163574
-7202,700,0.493164,0.106201,-10.220337
-7231,700,0.478516,0.155029,-10.214233
-7262,700,0.448608,0.180054,-10.148926
-7295,700,0.500488,0.139160,-10.214233
-7326,700,0.496826,0.170898,-10.173340
-7359,700,0.438232,0.118408,-10.216064
-7389,700,0.515747,0.139771,-10.251465
-7420,700,0.468750,0.171509,-10.169067
-7453,700,0.521851,0.144043,-10.171509
-7484,700,0.488892,0.181274,-10.174561
-7518,700,0.499268,0.100098,-10.213623
-7547,700,0.484009,0.167847,-10.199585
-7580,700,0.513916,0.103760,-10.205078
-7608,700,0.507812,0.217896,-10.188599
-7644,700,0.527344,0.177612,-10.217896
-7678,700,0.500488,0.191040,-10.160522
-7714,700,0.510864,0.144043,-10.200806
-7747,700,0.472412,0.115967,-10.191650
-7778,700,0.503540,0.164185,-10.239868
-7811,700,0.513306,0.128784,-10.152588
-7842,700,0.523071,0.155640,-10.234985
-7875,700,0.462646,0.181274,-10.198364
-7909,700,0.512085,0.148926,-10.189209
-7942,700,0.492554,0.142212,-10.259399
-7974,700,0.470581,0.136719,-10.164185
-8006,700,0.482178,0.182495,-10.150146
-8040,700,0.469971,0.217285,-10.207520
-8077,700,0.487061,0.123291,-10.189209
-8109,700,0.484619,0.139160,-10.202026
-8141,700,0.489502,0.198975,-10.175781
-8177,700,0.507812,0.173950,-10.173950
-8212,700,0.475464,0.172729,-10.237427
-8248,700,0.487061,0.194702,-10.234375
-8285,700,0.522461,0.162354,-10.185547
-8321,700,0.449829,0.147705,-10.214233
-8356,700,0.491943,0.129395,-10.252075
-8389,700,0.501099,0.176392,-10.184326
-8425,700,0.474854,0.160522,-10.221558
-8460,700,0.500488,0.173950,-10.244141
-8496,700,0.503540,0.123291,-10.208130
-8528,700,0.501099,0.154419,-10.250244
-8562,700,0.510864,0.137329,-10.209351
-8595,700,0.487061,0.155640,-10.236816
-8629,700,0.507202,0.211182,-10.199585
-8666,700,0.512695,0.133667,-10.150757
-8699,700,0.485840,0.150146,-10.133057
-8733,700,0.521240,0.147705,-10.253296
-8766,700,0.521240,0.189209,-10.275269
-8802,700,0.449829,0.159302,-10.219727
-8836,700,0.477905,0.181885,-10.200195
-8872,700,0.492554,0.145874,-10.215454
-8906,700,0.498047,0.174561,-10.233765
-8942,700,0.491333,0.156250,-10.151978
-8977,700,0.505981,0.186157,-10.254517
-9014,700,0.499268,0.142822,-10.243530
-9048,700,0.488892,0.116577,-10.220337
-9080,700,0.480957,0.119629,-10.216064
-9111,700,0.467529,0.103760,-10.204468
-9140,700,0.535889,0.130615,-10.217896
-9170,700,1.488037,-0.036011,-12.991943
-9188,700,1.273804,0.013428,-12.157593
-9207,700,0.947876,0.155640,-10.335693
-9233,700,0.300293,-0.095215,-9.523926
-9243,700,0.435181,0.038452,-9.719238
-9258,700,0.366821,0.214233,-9.855347
-9284,700,0.484619,0.340576,-9.859619
-9321,700,0.276489,0.255737,-9.838257
-9357,700,0.497437,0.177002,-10.120239
-9389,700,0.352173,0.175171,-10.294800
-9422,700,0.402222,0.145874,-10.297241
-9453,700,0.507202,0.173950,-10.230103
-9486,700,0.346680,0.198975,-10.034790
-9522,700,0.456543,0.190430,-10.236816
-9558,700,0.317993,0.175781,-10.242920
-9593,700,0.510864,0.006714,-10.283813
-9617,700,0.397949,0.208130,-10.125732
-9652,700,0.588989,0.147705,-10.242310
-9684,700,0.399170,0.171509,-10.245972
-9718,700,0.682373,0.176392,-10.291138
-9752,700,0.373535,0.153809,-10.210571
-9785,700,0.634155,0.150146,-10.289917
